image,caption,preprocessed_captions
0022791.png,Green hill ranges covered with trees and grass and blue sky with scattered dense white clouds,"['green', 'hill', 'rang', 'cover', 'tree', 'grass', 'blue', 'sky', 'scatter', 'dens', 'white', 'cloud']"
0022793.png,Rocky jagged mountain range with few dark orange trees and light orange sunset sky with white cirrocumulus clouds,"['rocki', 'jag', 'mountain', 'rang', 'dark', 'orang', 'tree', 'light', 'orang', 'sunset', 'sky', 'white', 'cirrocumulu', 'cloud']"
0022796.png,A green mountain covered with trees and mountain ranges with hazy blue sky,"['green', 'mountain', 'cover', 'tree', 'mountain', 'rang', 'hazi', 'blue', 'sky']"
0022799.png,Snow capped rocky peak covered with low lying dense white clouds and grey sky filled with grey clouds,"['snow', 'cap', 'rocki', 'peak', 'cover', 'low', 'lie', 'dens', 'white', 'cloud', 'grey', 'sky', 'fill', 'grey', 'cloud']"
0022801.png,Jagged rocky mountain range with green trees in its base and blue grey sky with thick grey clouds,"['jag', 'rocki', 'mountain', 'rang', 'green', 'tree', 'base', 'blue', 'grey', 'sky', 'thick', 'grey', 'cloud']"
0022805.png,Rocky dark mountains covered with streaks of snow green trees and low lying thick white clouds,"['rocki', 'dark', 'mountain', 'cover', 'streak', 'snow', 'green', 'tree', 'low', 'lie', 'thick', 'white', 'cloud']"
0022808.png,Mountain slope and orange and blue sunset sky,"['mountain', 'slope', 'orang', 'blue', 'sunset', 'sky']"
0022812.png,Rocky mountain covered with snow and bushes and clear blue sky,"['rocki', 'mountain', 'cover', 'snow', 'bush', 'clear', 'blue', 'sky']"
0022813.png,Rocky mountain peak covered with snow and green trees in the base of the mountain with a light blue sky filled with dense grey clouds,"['rocki', 'mountain', 'peak', 'cover', 'snow', 'green', 'tree', 'base', 'mountain', 'light', 'blue', 'sky', 'fill', 'dens', 'grey', 'cloud']"
0022819.png,Rocky mountain peak covered in snow and clear blue night sky,"['rocki', 'mountain', 'peak', 'cover', 'snow', 'clear', 'blue', 'night', 'sky']"
0022828.png,Rocky mountain plateau with green tress in the base and clear coral blue sky,"['rocki', 'mountain', 'plateau', 'green', 'tress', 'base', 'clear', 'coral', 'blue', 'sky']"
0022832.png,Sandy mountain scattered with rocks and blue sky scattered with dense white clouds,"['sandi', 'mountain', 'scatter', 'rock', 'blue', 'sky', 'scatter', 'dens', 'white', 'cloud']"
0022833.png,Orange rugged mountain and clear blue sky,"['orang', 'rug', 'mountain', 'clear', 'blue', 'sky']"
0022839.png,Rugged snow capped mountain ranges with clear night blue sky,"['rug', 'snow', 'cap', 'mountain', 'rang', 'clear', 'night', 'blue', 'sky']"
0022840.png,Green mountain covered with trees and light blue sky with grey clouds,"['green', 'mountain', 'cover', 'tree', 'light', 'blue', 'sky', 'grey', 'cloud']"
0022853.png,Mountain covered with dense tree thicket in the base and light blue sky with a layer of thin white clouds.,"['mountain', 'cover', 'dens', 'tree', 'thicket', 'base', 'light', 'blue', 'sky', 'layer', 'thin', 'white', 'cloud', '.']"
0022860.png,Rocky mountain covered with snow and the peak is covered by grey-white clouds,"['rocki', 'mountain', 'cover', 'snow', 'peak', 'cover', 'grey-whit', 'cloud']"
0022862.png,Red mountain peak with green bushes at the base of the peak and blue sky with thick white clouds scattered,"['red', 'mountain', 'peak', 'green', 'bush', 'base', 'peak', 'blue', 'sky', 'thick', 'white', 'cloud', 'scatter']"
0022864.png,Mountain Slope covered with green bushes and rocky mountain peaks covered with snow,"['mountain', 'slope', 'cover', 'green', 'bush', 'rocki', 'mountain', 'peak', 'cover', 'snow']"
0022868.png,Slate Mountain range with green thorny bushes and blye sky scattered with thin white cloud,"['slate', 'mountain', 'rang', 'green', 'thorni', 'bush', 'blye', 'sky', 'scatter', 'thin', 'white', 'cloud']"
0022873.png,Snow capped rocky mountain peak and blue sky with thick white clouds,"['snow', 'cap', 'rocki', 'mountain', 'peak', 'blue', 'sky', 'thick', 'white', 'cloud']"
0022875.png,Low lying mountain range covered with thick white clouds and green trees and snow capped rocky mountain ranges,"['low', 'lie', 'mountain', 'rang', 'cover', 'thick', 'white', 'cloud', 'green', 'tree', 'snow', 'cap', 'rocki', 'mountain', 'rang']"
0022877.png,Snow capped Mountain with pine trees in the base and clear light blue sky,"['snow', 'cap', 'mountain', 'pine', 'tree', 'base', 'clear', 'light', 'blue', 'sky']"
0022880.png,Mountain slope and orange sunset sky with scattered with grey clouds,"['mountain', 'slope', 'orang', 'sunset', 'sky', 'scatter', 'grey', 'cloud']"
0022886.png,Snow capped mountain peak with green trees in the base and clear light blue sky,"['snow', 'cap', 'mountain', 'peak', 'green', 'tree', 'base', 'clear', 'light', 'blue', 'sky']"
0022892.png,Rocky mountain peak and light blue sky with scattered thin white clouds,"['rocki', 'mountain', 'peak', 'light', 'blue', 'sky', 'scatter', 'thin', 'white', 'cloud']"
0022916.png,Rocky mountain range covered with low lying clouds and green trees and light blue hazy sky,"['rocki', 'mountain', 'rang', 'cover', 'low', 'lie', 'cloud', 'green', 'tree', 'light', 'blue', 'hazi', 'sky']"
0022917.png,Snow capped rugged mountain range with clear blue sky,"['snow', 'cap', 'rug', 'mountain', 'rang', 'clear', 'blue', 'sky']"
0022925.png,Rocky mountain range with streaks of snow and pine trees and hazy white sky,"['rocki', 'mountain', 'rang', 'streak', 'snow', 'pine', 'tree', 'hazi', 'white', 'sky']"
0022926.png,Jagged rocky mountains with pine trees in the base and clear light blue sky,"['jag', 'rocki', 'mountain', 'pine', 'tree', 'base', 'clear', 'light', 'blue', 'sky']"
0022928.png,Low lying valley mountain range covered with dense forest and light blue sky with thin layer of white clouds,"['low', 'lie', 'valley', 'mountain', 'rang', 'cover', 'dens', 'forest', 'light', 'blue', 'sky', 'thin', 'layer', 'white', 'cloud']"
0022936.png,Snow capped rocky mountain peaks with pine trees in the base and clear light blue sky,"['snow', 'cap', 'rocki', 'mountain', 'peak', 'pine', 'tree', 'base', 'clear', 'light', 'blue', 'sky']"
0022941.png,A single mountain peak covered with thick green bushes and blue sky with white clouds,"['singl', 'mountain', 'peak', 'cover', 'thick', 'green', 'bush', 'blue', 'sky', 'white', 'cloud']"
0022952.png,Sandy Mountain slope covered with green bushes and clear blue sky,"['sandi', 'mountain', 'slope', 'cover', 'green', 'bush', 'clear', 'blue', 'sky']"
0022954.png,Rocky mountain range covered with white snow and clear blue sky,"['rocki', 'mountain', 'rang', 'cover', 'white', 'snow', 'clear', 'blue', 'sky']"
0022956.png,Rugged mountain peaks covered with green grass and light blue sky scattered with thick white clouds,"['rug', 'mountain', 'peak', 'cover', 'green', 'grass', 'light', 'blue', 'sky', 'scatter', 'thick', 'white', 'cloud']"
0022967.png,Dark mountain slope and snow capped peak and hazy light blue sky with a layer of grey clouds,"['dark', 'mountain', 'slope', 'snow', 'cap', 'peak', 'hazi', 'light', 'blue', 'sky', 'layer', 'grey', 'cloud']"
0022970.png,Rocky mountain peak covered with green trees and teal sky with white clouds,"['rocki', 'mountain', 'peak', 'cover', 'green', 'tree', 'teal', 'sky', 'white', 'cloud']"
0022974.png,Snow capped mountain range and hazy grey sky,"['snow', 'cap', 'mountain', 'rang', 'hazi', 'grey', 'sky']"
0022979.png,Blue mountain ranges with streaks of snow and clear coral blue sky,"['blue', 'mountain', 'rang', 'streak', 'snow', 'clear', 'coral', 'blue', 'sky']"
0022988.png,Rocky mountain peaks covered with snow and pine trees in the base of the mountain with hazy grey sky scattered with grey clouds,"['rocki', 'mountain', 'peak', 'cover', 'snow', 'pine', 'tree', 'base', 'mountain', 'hazi', 'grey', 'sky', 'scatter', 'grey', 'cloud']"
0022993.png,Snow capped rocky peaks with dense green forest in the base and clear blue sky,"['snow', 'cap', 'rocki', 'peak', 'dens', 'green', 'forest', 'base', 'clear', 'blue', 'sky']"
0022997.png,Dark rocky mountain peak covered in snow and hazy grey sky,"['dark', 'rocki', 'mountain', 'peak', 'cover', 'snow', 'hazi', 'grey', 'sky']"
0022998.png,Sandstone jagged mountain peaks covered with trees and hazy sky,"['sandston', 'jag', 'mountain', 'peak', 'cover', 'tree', 'hazi', 'sky']"
0023004.png,Snow capped rocky mountain range with green trees in the base and bright blue sky with dense white clouds,"['snow', 'cap', 'rocki', 'mountain', 'rang', 'green', 'tree', 'base', 'bright', 'blue', 'sky', 'dens', 'white', 'cloud']"
0023011.png,Jagged mountain peaks with streaks of snow and green trees and hazy sky with dense grey clouds,"['jag', 'mountain', 'peak', 'streak', 'snow', 'green', 'tree', 'hazi', 'sky', 'dens', 'grey', 'cloud']"
0023012.png,Mountain with loose gravel and clear blue sky,"['mountain', 'loos', 'gravel', 'clear', 'blue', 'sky']"
0023017.png,Snow capped rocky mountain peak with purple cloudy sky,"['snow', 'cap', 'rocki', 'mountain', 'peak', 'purpl', 'cloudi', 'sky']"
0023039.png,Two rocky mountains with snow in the middle and green grass in its base and hazy white sky,"['two', 'rocki', 'mountain', 'snow', 'middl', 'green', 'grass', 'base', 'hazi', 'white', 'sky']"
0023043.png,Snow covered rocky mountain range with gravel and hazy grey sky,"['snow', 'cover', 'rocki', 'mountain', 'rang', 'gravel', 'hazi', 'grey', 'sky']"
0023044.png,Rocky mountain slope fully covered with white thick snow and clear light blue sky,"['rocki', 'mountain', 'slope', 'fulli', 'cover', 'white', 'thick', 'snow', 'clear', 'light', 'blue', 'sky']"
0023055.png,Dark hill range with trees and dark sky filled with dense dark grey clouds,"['dark', 'hill', 'rang', 'tree', 'dark', 'sky', 'fill', 'dens', 'dark', 'grey', 'cloud']"
0023106.png,A single rocky peak with mountain slope and clear light blue sky,"['singl', 'rocki', 'peak', 'mountain', 'slope', 'clear', 'light', 'blue', 'sky']"
0023107.png,Snow streaked mountain range with green pine trees and hazy blue sky with scattered white dense clouds,"['snow', 'streak', 'mountain', 'rang', 'green', 'pine', 'tree', 'hazi', 'blue', 'sky', 'scatter', 'white', 'dens', 'cloud']"
0023134.png,Rocky mountain slope with green pine trees on the top and grey hazy sky,"['rocki', 'mountain', 'slope', 'green', 'pine', 'tree', 'top', 'grey', 'hazi', 'sky']"
0023141.png,Mountain slope covered with green grass and hazy white sky with low lying clouds,"['mountain', 'slope', 'cover', 'green', 'grass', 'hazi', 'white', 'sky', 'low', 'lie', 'cloud']"
0049997.png,Dark mountains with no vegetation and orange clouds,"['dark', 'mountain', 'veget', 'orang', 'cloud']"
0050000.png,Green mountains with green vegetation and few clouds,"['green', 'mountain', 'green', 'veget', 'cloud']"
0050001.png,Stone mountains covered with snow and pine vegetation and cloudy sky,"['stone', 'mountain', 'cover', 'snow', 'pine', 'veget', 'cloudi', 'sky']"
0050002.png,Stone mountains with snow and no vegetation and one cloud,"['stone', 'mountain', 'snow', 'veget', 'one', 'cloud']"
0050006.png,Rock mountains surrounded with snow and clear sky,"['rock', 'mountain', 'surround', 'snow', 'clear', 'sky']"
0050008.png,Rugged mountains with slight green vegetation and scattered clouds,"['rug', 'mountain', 'slight', 'green', 'veget', 'scatter', 'cloud']"
0050009.png,rock mountains surrounded with sand and clear sky,"['rock', 'mountain', 'surround', 'sand', 'clear', 'sky']"
0050011.png,Jagged mountains surrounded with pine trees and plants and has clear sky,"['jag', 'mountain', 'surround', 'pine', 'tree', 'plant', 'clear', 'sky']"
0050012.png,Snowy mountains with less green plants and plain blue sky,"['snowi', 'mountain', 'less', 'green', 'plant', 'plain', 'blue', 'sky']"
0050013.png,Mountains covered with snow with few trees and cloudy sky,"['mountain', 'cover', 'snow', 'tree', 'cloudi', 'sky']"
0050032.png,Sharp Stone mountains with no green vegetation and clear blue sky,"['sharp', 'stone', 'mountain', 'green', 'veget', 'clear', 'blue', 'sky']"
0050043.png,Snow covered mountain range with golden cloudy sky,"['snow', 'cover', 'mountain', 'rang', 'golden', 'cloudi', 'sky']"
0050044.png,Snow capped mountains with pine trees around it and layered clouds,"['snow', 'cap', 'mountain', 'pine', 'tree', 'around', 'layer', 'cloud']"
0050052.png,Rocky Mountains surrounded with green patch of vegetation and a dense cloud in blue sky,"['rocki', 'mountain', 'surround', 'green', 'patch', 'veget', 'dens', 'cloud', 'blue', 'sky']"
0050053.png,Steep Stone mountains covered with snow and A dense cloudy sky,"['steep', 'stone', 'mountain', 'cover', 'snow', 'dens', 'cloudi', 'sky']"
0050054.png,Mountain ranges with snow caps and surrounded by grass-like vegetation and clear blue sky,"['mountain', 'rang', 'snow', 'cap', 'surround', 'grass-lik', 'veget', 'clear', 'blue', 'sky']"
0050064.png,Green mountain ranges surrounded with patchy green plants and dense cloud cover,"['green', 'mountain', 'rang', 'surround', 'patchi', 'green', 'plant', 'dens', 'cloud', 'cover']"
0050065.png,Smooth faced Stone mountains with pine trees at the foot and clear blue sky,"['smooth', 'face', 'stone', 'mountain', 'pine', 'tree', 'foot', 'clear', 'blue', 'sky']"
0050066.png,Sharp snow capped mountains with tall pine trees in front of it and low lying wavy clouds,"['sharp', 'snow', 'cap', 'mountain', 'tall', 'pine', 'tree', 'front', 'low', 'lie', 'wavi', 'cloud']"
0050072.png,Short mountain ranges with no vegetation and surrounded by sand with partial cloud cover,"['short', 'mountain', 'rang', 'veget', 'surround', 'sand', 'partial', 'cloud', 'cover']"
0050074.png,Peaks of snow capped mountains surrounded by snow and misty clouds,"['peak', 'snow', 'cap', 'mountain', 'surround', 'snow', 'misti', 'cloud']"
0050077.png,Rugged stone mountains with barely any vegetation and clear blue sky,"['rug', 'stone', 'mountain', 'bare', 'veget', 'clear', 'blue', 'sky']"
0050083.png,Smooth faced stone mountains with grass like plants at the foot and very dense cloud cover,"['smooth', 'face', 'stone', 'mountain', 'grass', 'like', 'plant', 'foot', 'dens', 'cloud', 'cover']"
0050101.png,jagged stone mountain range with Pine like trees and partially scattered clouds,"['jag', 'stone', 'mountain', 'rang', 'pine', 'like', 'tree', 'partial', 'scatter', 'cloud']"
0050118.png,Sharp rock mountains with dense pine forest cover and thick clouds,"['sharp', 'rock', 'mountain', 'dens', 'pine', 'forest', 'cover', 'thick', 'cloud']"
0050127.png,Mountains covered with pine vegetation and scattered clouds,"['mountain', 'cover', 'pine', 'veget', 'scatter', 'cloud']"
0050138.png,Stone mountain ranges in the background with grass field in front with Dense scattered clouds,"['stone', 'mountain', 'rang', 'background', 'grass', 'field', 'front', 'dens', 'scatter', 'cloud']"
0050140.png,Tall snow capped mountains with low lying clouds,"['tall', 'snow', 'cap', 'mountain', 'low', 'lie', 'cloud']"
0050142.png,Smooth rocky mountain with pine trees and Dense white clouds,"['smooth', 'rocki', 'mountain', 'pine', 'tree', 'dens', 'white', 'cloud']"
0050149.png,Smooth layered brown mountains with grass at the foot and cloudy sky,"['smooth', 'layer', 'brown', 'mountain', 'grass', 'foot', 'cloudi', 'sky']"
0050164.png,dark mountains with trees and vegetation and a partially cloudy golden sky with sunrise,"['dark', 'mountain', 'tree', 'veget', 'partial', 'cloudi', 'golden', 'sky', 'sunris']"
0050166.png,Lush green mountains with dense vegetation and clear blue sky with a misty horizon,"['lush', 'green', 'mountain', 'dens', 'veget', 'clear', 'blue', 'sky', 'misti', 'horizon']"
0050175.png,Sharp Stone mountains with lush green vegetation and pine trees at the foot and scattered dense clouds,"['sharp', 'stone', 'mountain', 'lush', 'green', 'veget', 'pine', 'tree', 'foot', 'scatter', 'dens', 'cloud']"
0050178.png,Rugged brown mountain with no vegetation and one dense cloud in the clear blue sky,"['rug', 'brown', 'mountain', 'veget', 'one', 'dens', 'cloud', 'clear', 'blue', 'sky']"
0050184.png,Stone mountains with jagged peaks and greens trees at the foot and a clear blue sky,"['stone', 'mountain', 'jag', 'peak', 'green', 'tree', 'foot', 'clear', 'blue', 'sky']"
0050187.png,grey jagged peaked mountains with slight vegetation and clear blue sky,"['grey', 'jag', 'peak', 'mountain', 'slight', 'veget', 'clear', 'blue', 'sky']"
0050190.png,Brown mountains with green vegetation at the foot and a partially cloudy sky,"['brown', 'mountain', 'green', 'veget', 'foot', 'partial', 'cloudi', 'sky']"
0050200.png,Sharp peaked dark mountains with no vegetation and dense white clouds,"['sharp', 'peak', 'dark', 'mountain', 'veget', 'dens', 'white', 'cloud']"
0050206.png,Stone mountains with serrated peak and dense pine trees and clear sky with one cloud,"['stone', 'mountain', 'serrat', 'peak', 'dens', 'pine', 'tree', 'clear', 'sky', 'one', 'cloud']"
0050209.png,Smooth faced stone mountains with pine trees at the foot and partially cloudy sky,"['smooth', 'face', 'stone', 'mountain', 'pine', 'tree', 'foot', 'partial', 'cloudi', 'sky']"
0050214.png,green faced mountains with lush green plants and white clouds at the peak,"['green', 'face', 'mountain', 'lush', 'green', 'plant', 'white', 'cloud', 'peak']"
0050215.png,dark mountain with bushy plants and few trees spaced apart and dense cloud line,"['dark', 'mountain', 'bushi', 'plant', 'tree', 'space', 'apart', 'dens', 'cloud', 'line']"
0050217.png,jagged peaked mountains with snow and pine trees around them and clear shiny sky with the sun,"['jag', 'peak', 'mountain', 'snow', 'pine', 'tree', 'around', 'clear', 'shini', 'sky', 'sun']"
0050225.png,snow coated mountains with pine vegetation on it and a dense cloud cover at the peak,"['snow', 'coat', 'mountain', 'pine', 'veget', 'dens', 'cloud', 'cover', 'peak']"
0050231.png,snow capped mountain with partial green vegetation and partially clear blue sky,"['snow', 'cap', 'mountain', 'partial', 'green', 'veget', 'partial', 'clear', 'blue', 'sky']"
0050234.png,white jagged stone mountains with pine vegetation and clear blue sky,"['white', 'jag', 'stone', 'mountain', 'pine', 'veget', 'clear', 'blue', 'sky']"
0050238.png,sharp rugged mountains with no vegetations and misty clouds,"['sharp', 'rug', 'mountain', 'veget', 'misti', 'cloud']"
0050247.png,grey smooth faced stone mountains with pine trees and grass at the base of the mountains with a clear blue sky,"['grey', 'smooth', 'face', 'stone', 'mountain', 'pine', 'tree', 'grass', 'base', 'mountain', 'clear', 'blue', 'sky']"
0050248.png,stone mountains with snow streaks on it with vegetation on the base and dense white clouds,"['stone', 'mountain', 'snow', 'streak', 'veget', 'base', 'dens', 'white', 'cloud']"
0050272.png,mountains covered with dry vegetation and clear blue sky,"['mountain', 'cover', 'dri', 'veget', 'clear', 'blue', 'sky']"
0050279.png,mountains covered with bushes and spaced out planted trees in front of it with dense white cloud cover,"['mountain', 'cover', 'bush', 'space', 'plant', 'tree', 'front', 'dens', 'white', 'cloud', 'cover']"
0050283.png,snow capped mountains with misty clouds and blue sky,"['snow', 'cap', 'mountain', 'misti', 'cloud', 'blue', 'sky']"
0050284.png,dark mountain with a grassland in front of it and scattered dense clouds,"['dark', 'mountain', 'grassland', 'front', 'scatter', 'dens', 'cloud']"
0050299.png,light brown mountains with sunlight on its face and partially cloudy sky,"['light', 'brown', 'mountain', 'sunlight', 'face', 'partial', 'cloudi', 'sky']"
0050302.png,snowy mountains with blue cloudy covered sky,"['snowi', 'mountain', 'blue', 'cloudi', 'cover', 'sky']"
0050311.png,mountain ranges covered with dry vegetation and partially cloudy sky,"['mountain', 'rang', 'cover', 'dri', 'veget', 'partial', 'cloudi', 'sky']"
0050314.png,rocky grey mountains with branched trees and clear blue sky,"['rocki', 'grey', 'mountain', 'branch', 'tree', 'clear', 'blue', 'sky']"
0050315.png,snow coated mountains with low lying clouds,"['snow', 'coat', 'mountain', 'low', 'lie', 'cloud']"
0050319.png,mountains covered in snow and sky covered with dense clouds,"['mountain', 'cover', 'snow', 'sky', 'cover', 'dens', 'cloud']"
0050320.png,brown mountains with pine vegetation surrounding it and partially cloudy sky,"['brown', 'mountain', 'pine', 'veget', 'surround', 'partial', 'cloudi', 'sky']"
0050322.png,Mountain peaks behind a savannah of yellow vegetation and partially cloudy sky,"['mountain', 'peak', 'behind', 'savannah', 'yellow', 'veget', 'partial', 'cloudi', 'sky']"
0050323.png,white mountains with dry vegetation and clear blue sky,"['white', 'mountain', 'dri', 'veget', 'clear', 'blue', 'sky']"
0050328.png,rugged mountains with green vegetation on it with dense white clouds,"['rug', 'mountain', 'green', 'veget', 'dens', 'white', 'cloud']"
0050332.png,brown rocky mountain with clear bright sky,"['brown', 'rocki', 'mountain', 'clear', 'bright', 'sky']"
0050334.png,rugged stone mountains with clouds towards the horizon and a clear sky,"['rug', 'stone', 'mountain', 'cloud', 'toward', 'horizon', 'clear', 'sky']"
0050352.png,mountains with snow with dry vegetation and dense white cloud cover,"['mountain', 'snow', 'dri', 'veget', 'dens', 'white', 'cloud', 'cover']"
0050357.png,grey stone mountains with partially cloudy sky,"['grey', 'stone', 'mountain', 'partial', 'cloudi', 'sky']"
0050362.png,brown mountain peaks with patchy green vegetation with partially dense clouds,"['brown', 'mountain', 'peak', 'patchi', 'green', 'veget', 'partial', 'dens', 'cloud']"
0050365.png,stone mountains with green trees and dense vegetation with partially cloudy blue sky,"['stone', 'mountain', 'green', 'tree', 'dens', 'veget', 'partial', 'cloudi', 'blue', 'sky']"
0050367.png,snow capped mountains with dark blue clear sky,"['snow', 'cap', 'mountain', 'dark', 'blue', 'clear', 'sky']"
0050368.png,stone mountains with pine vegetation on them and blue sky with clouds shining with sunlight,"['stone', 'mountain', 'pine', 'veget', 'blue', 'sky', 'cloud', 'shine', 'sunlight']"
0050370.png,brown desert like mountain region with clear sky,"['brown', 'desert', 'like', 'mountain', 'region', 'clear', 'sky']"
0050371.png,mountain covered by the shadow and the sky is clear blue,"['mountain', 'cover', 'shadow', 'sky', 'clear', 'blue']"
0050373.png,mountains covered with grass and stones and partially cloudy blue sky,"['mountain', 'cover', 'grass', 'stone', 'partial', 'cloudi', 'blue', 'sky']"
0050375.png,ice capped mountains with dense grey clouds,"['ice', 'cap', 'mountain', 'dens', 'grey', 'cloud']"
0050376.png,brown rocky mountains with grass fields ahead and clear blue sky with misty clouds,"['brown', 'rocki', 'mountain', 'grass', 'field', 'ahead', 'clear', 'blue', 'sky', 'misti', 'cloud']"
0050380.png,mountain ranges in the background with pine trees in the front and white cloudy sky,"['mountain', 'rang', 'background', 'pine', 'tree', 'front', 'white', 'cloudi', 'sky']"
0050385.png,Mountain covered in ice and light teal sky,"['mountain', 'cover', 'ice', 'light', 'teal', 'sky']"
0050392.png,stone mountains covered in bushes and green vegetation around it and clear white sky,"['stone', 'mountain', 'cover', 'bush', 'green', 'veget', 'around', 'clear', 'white', 'sky']"
0050394.png,Steep rugged stone mountain with patchy vegetation on it and blue sky with misty clouds,"['steep', 'rug', 'stone', 'mountain', 'patchi', 'veget', 'blue', 'sky', 'misti', 'cloud']"
0050396.png,grey mountains with patchy vegetation towards it foot and clear blue sky,"['grey', 'mountain', 'patchi', 'veget', 'toward', 'foot', 'clear', 'blue', 'sky']"
0050397.png,white flat faced mountains with rocky base and white scattered clouds,"['white', 'flat', 'face', 'mountain', 'rocki', 'base', 'white', 'scatter', 'cloud']"
0050407.png,dark snow capped mountains with patch vegetation on them and pine trees at the bottom and dense white clouds,"['dark', 'snow', 'cap', 'mountain', 'patch', 'veget', 'pine', 'tree', 'bottom', 'dens', 'white', 'cloud']"
0050410.png,mountains with lush bush and pine trees in front of it and clouds around its peak and a blue sky,"['mountain', 'lush', 'bush', 'pine', 'tree', 'front', 'cloud', 'around', 'peak', 'blue', 'sky']"
0050414.png,snowy mountains with ridges over it and misty sky,"['snowi', 'mountain', 'ridg', 'misti', 'sky']"
0050419.png,brown mountains with steep smooth face and jagged peaks and cloudy blue sky,"['brown', 'mountain', 'steep', 'smooth', 'face', 'jag', 'peak', 'cloudi', 'blue', 'sky']"
0050421.png,mountains covered with green plants and green trees around and clear blue sky,"['mountain', 'cover', 'green', 'plant', 'green', 'tree', 'around', 'clear', 'blue', 'sky']"
0050452.png,steep mountainside cliff with a smooth face and a grass valley in between and blue cloudy sky,"['steep', 'mountainsid', 'cliff', 'smooth', 'face', 'grass', 'valley', 'blue', 'cloudi', 'sky']"
0050456.png,snow capped mountain peaks with its body covered in shadow and lots of green plants near it,"['snow', 'cap', 'mountain', 'peak', 'bodi', 'cover', 'shadow', 'lot', 'green', 'plant', 'near']"
0050459.png,mountains covered in greenery and the base of the mountains is rich in green vegetation the sky is blue with minimal clouds,"['mountain', 'cover', 'greeneri', 'base', 'mountain', 'rich', 'green', 'veget', 'sky', 'blue', 'minim', 'cloud']"
0050462.png,white snow mountains with autumn vegetation and blue sky with a dense cloud,"['white', 'snow', 'mountain', 'autumn', 'veget', 'blue', 'sky', 'dens', 'cloud']"
0050465.png,brown mountains with a valley like formation and dry desert vegetation around it and green vegetation further in front of it and the sky is light blue,"['brown', 'mountain', 'valley', 'like', 'format', 'dri', 'desert', 'veget', 'around', 'green', 'veget', 'front', 'sky', 'light', 'blue']"
0050471.png,steep light grey mountain with a smooth surface on the base and rugged towards the peak with cloudy blue sky,"['steep', 'light', 'grey', 'mountain', 'smooth', 'surfac', 'base', 'rug', 'toward', 'peak', 'cloudi', 'blue', 'sky']"
0050479.png,sharp peaked grey mountains with snow  and grey cloudy sky,"['sharp', 'peak', 'grey', 'mountain', 'snow', 'grey', 'cloudi', 'sky']"
0050486.png,rocky mountains with slight patchy green vegetation and clear blue sky,"['rocki', 'mountain', 'slight', 'patchi', 'green', 'veget', 'clear', 'blue', 'sky']"
0050495.png,rocky mountain covered with green grass and bushes and low lying clouds below the peak,"['rocki', 'mountain', 'cover', 'green', 'grass', 'bush', 'low', 'lie', 'cloud', 'peak']"
0050498.png,snow capped mountain with shadow fall covering its base and dense white clouds above it,"['snow', 'cap', 'mountain', 'shadow', 'fall', 'cover', 'base', 'dens', 'white', 'cloud']"
0050519.png,sandy mountains surrounded by cactus and desert vegetation with clear blue sky,"['sandi', 'mountain', 'surround', 'cactu', 'desert', 'veget', 'clear', 'blue', 'sky']"
0050525.png,white snow covered mountains with slight shadow at the base and dark blue night sky,"['white', 'snow', 'cover', 'mountain', 'slight', 'shadow', 'base', 'dark', 'blue', 'night', 'sky']"
0050536.png,brown rugged layered mountains with a valley of dry vegetation in between and blue sky with lots of misty clouds,"['brown', 'rug', 'layer', 'mountain', 'valley', 'dri', 'veget', 'blue', 'sky', 'lot', 'misti', 'cloud']"
0050546.png,snowy mountain range with light blue sky with misty clouds,"['snowi', 'mountain', 'rang', 'light', 'blue', 'sky', 'misti', 'cloud']"
0050547.png,Mountains covered in moss like vegetation and cloudy sky,"['mountain', 'cover', 'moss', 'like', 'veget', 'cloudi', 'sky']"
0050550.png,stone mountains with jagged peaks covered in snow and smokey grey clouds,"['stone', 'mountain', 'jag', 'peak', 'cover', 'snow', 'smokey', 'grey', 'cloud']"
0050556.png,snowy white mountains with hazy blue sky with clouds,"['snowi', 'white', 'mountain', 'hazi', 'blue', 'sky', 'cloud']"
0050567.png,mountains with patchy green vegetation and blue clouds scattered across the sky,"['mountain', 'patchi', 'green', 'veget', 'blue', 'cloud', 'scatter', 'across', 'sky']"
0050572.png,mountain peaks with layered body and clear blue sky,"['mountain', 'peak', 'layer', 'bodi', 'clear', 'blue', 'sky']"
0050574.png,ice capped green mountains covered with dense pine vegetation and dry vegetation at the base and clear blue sky,"['ice', 'cap', 'green', 'mountain', 'cover', 'dens', 'pine', 'veget', 'dri', 'veget', 'base', 'clear', 'blue', 'sky']"
0050585.png,mountains with jagged peaks covered in snow and green grass surrounding it and white cloudy sky,"['mountain', 'jag', 'peak', 'cover', 'snow', 'green', 'grass', 'surround', 'white', 'cloudi', 'sky']"
0050594.png,mountains covered by misty clouds surrounded by pine trees and white hazy sky,"['mountain', 'cover', 'misti', 'cloud', 'surround', 'pine', 'tree', 'white', 'hazi', 'sky']"
0050596.png,rocky mountains with snow on them with a pine tree and blue sky with misty clouds,"['rocki', 'mountain', 'snow', 'pine', 'tree', 'blue', 'sky', 'misti', 'cloud']"
0050605.png,snowy mountain range with misty blue sky,"['snowi', 'mountain', 'rang', 'misti', 'blue', 'sky']"
