image,caption,preprocessed_captions
0022791.png,Green hill ranges covered with trees and grass and blue sky with scattered dense white clouds,"['green', 'hill', 'range', 'covered', 'tree', 'grass', 'blue', 'sky', 'scattered', 'dense', 'white', 'cloud']"
0022793.png,Rocky jagged mountain range with few dark orange trees and light orange sunset sky with white cirrocumulus clouds,"['rocky', 'jagged', 'mountain', 'range', 'dark', 'orange', 'tree', 'light', 'orange', 'sunset', 'sky', 'white', 'cirrocumulus', 'cloud']"
0022796.png,A green mountain covered with trees and mountain ranges with hazy blue sky,"['green', 'mountain', 'covered', 'tree', 'mountain', 'range', 'hazy', 'blue', 'sky']"
0022799.png,Snow capped rocky peak covered with low lying dense white clouds and grey sky filled with grey clouds,"['snow', 'capped', 'rocky', 'peak', 'covered', 'low', 'lying', 'dense', 'white', 'cloud', 'grey', 'sky', 'filled', 'grey', 'cloud']"
0022801.png,Jagged rocky mountain range with green trees in its base and blue grey sky with thick grey clouds,"['jagged', 'rocky', 'mountain', 'range', 'green', 'tree', 'base', 'blue', 'grey', 'sky', 'thick', 'grey', 'cloud']"
0022805.png,Rocky dark mountains covered with streaks of snow green trees and low lying thick white clouds,"['rocky', 'dark', 'mountain', 'covered', 'streak', 'snow', 'green', 'tree', 'low', 'lying', 'thick', 'white', 'cloud']"
0022808.png,Mountain slope and orange and blue sunset sky,"['mountain', 'slope', 'orange', 'blue', 'sunset', 'sky']"
0022812.png,Rocky mountain covered with snow and bushes and clear blue sky,"['rocky', 'mountain', 'covered', 'snow', 'bush', 'clear', 'blue', 'sky']"
0022813.png,Rocky mountain peak covered with snow and green trees in the base of the mountain with a light blue sky filled with dense grey clouds,"['rocky', 'mountain', 'peak', 'covered', 'snow', 'green', 'tree', 'base', 'mountain', 'light', 'blue', 'sky', 'filled', 'dense', 'grey', 'cloud']"
0022819.png,Rocky mountain peak covered in snow and clear blue night sky,"['rocky', 'mountain', 'peak', 'covered', 'snow', 'clear', 'blue', 'night', 'sky']"
0022828.png,Rocky mountain plateau with green tress in the base and clear coral blue sky,"['rocky', 'mountain', 'plateau', 'green', 'tress', 'base', 'clear', 'coral', 'blue', 'sky']"
0022832.png,Sandy mountain scattered with rocks and blue sky scattered with dense white clouds,"['sandy', 'mountain', 'scattered', 'rock', 'blue', 'sky', 'scattered', 'dense', 'white', 'cloud']"
0022833.png,Orange rugged mountain and clear blue sky,"['orange', 'rugged', 'mountain', 'clear', 'blue', 'sky']"
0022839.png,Rugged snow capped mountain ranges with clear night blue sky,"['rugged', 'snow', 'capped', 'mountain', 'range', 'clear', 'night', 'blue', 'sky']"
0022840.png,Green mountain covered with trees and light blue sky with grey clouds,"['green', 'mountain', 'covered', 'tree', 'light', 'blue', 'sky', 'grey', 'cloud']"
0022853.png,Mountain covered with dense tree thicket in the base and light blue sky with a layer of thin white clouds.,"['mountain', 'covered', 'dense', 'tree', 'thicket', 'base', 'light', 'blue', 'sky', 'layer', 'thin', 'white', 'cloud', '.']"
0022860.png,Rocky mountain covered with snow and the peak is covered by grey-white clouds,"['rocky', 'mountain', 'covered', 'snow', 'peak', 'covered', 'grey-white', 'cloud']"
0022862.png,Red mountain peak with green bushes at the base of the peak and blue sky with thick white clouds scattered,"['red', 'mountain', 'peak', 'green', 'bush', 'base', 'peak', 'blue', 'sky', 'thick', 'white', 'cloud', 'scattered']"
0022864.png,Mountain Slope covered with green bushes and rocky mountain peaks covered with snow,"['mountain', 'slope', 'covered', 'green', 'bush', 'rocky', 'mountain', 'peak', 'covered', 'snow']"
0022868.png,Slate Mountain range with green thorny bushes and blye sky scattered with thin white cloud,"['slate', 'mountain', 'range', 'green', 'thorny', 'bush', 'blye', 'sky', 'scattered', 'thin', 'white', 'cloud']"
0022873.png,Snow capped rocky mountain peak and blue sky with thick white clouds,"['snow', 'capped', 'rocky', 'mountain', 'peak', 'blue', 'sky', 'thick', 'white', 'cloud']"
0022875.png,Low lying mountain range covered with thick white clouds and green trees and snow capped rocky mountain ranges,"['low', 'lying', 'mountain', 'range', 'covered', 'thick', 'white', 'cloud', 'green', 'tree', 'snow', 'capped', 'rocky', 'mountain', 'range']"
0022877.png,Snow capped Mountain with pine trees in the base and clear light blue sky,"['snow', 'capped', 'mountain', 'pine', 'tree', 'base', 'clear', 'light', 'blue', 'sky']"
0022880.png,Mountain slope and orange sunset sky with scattered with grey clouds,"['mountain', 'slope', 'orange', 'sunset', 'sky', 'scattered', 'grey', 'cloud']"
0022886.png,Snow capped mountain peak with green trees in the base and clear light blue sky,"['snow', 'capped', 'mountain', 'peak', 'green', 'tree', 'base', 'clear', 'light', 'blue', 'sky']"
0022892.png,Rocky mountain peak and light blue sky with scattered thin white clouds,"['rocky', 'mountain', 'peak', 'light', 'blue', 'sky', 'scattered', 'thin', 'white', 'cloud']"
0022916.png,Rocky mountain range covered with low lying clouds and green trees and light blue hazy sky,"['rocky', 'mountain', 'range', 'covered', 'low', 'lying', 'cloud', 'green', 'tree', 'light', 'blue', 'hazy', 'sky']"
0022917.png,Snow capped rugged mountain range with clear blue sky,"['snow', 'capped', 'rugged', 'mountain', 'range', 'clear', 'blue', 'sky']"
0022925.png,Rocky mountain range with streaks of snow and pine trees and hazy white sky,"['rocky', 'mountain', 'range', 'streak', 'snow', 'pine', 'tree', 'hazy', 'white', 'sky']"
0022926.png,Jagged rocky mountains with pine trees in the base and clear light blue sky,"['jagged', 'rocky', 'mountain', 'pine', 'tree', 'base', 'clear', 'light', 'blue', 'sky']"
0022928.png,Low lying valley mountain range covered with dense forest and light blue sky with thin layer of white clouds,"['low', 'lying', 'valley', 'mountain', 'range', 'covered', 'dense', 'forest', 'light', 'blue', 'sky', 'thin', 'layer', 'white', 'cloud']"
0022936.png,Snow capped rocky mountain peaks with pine trees in the base and clear light blue sky,"['snow', 'capped', 'rocky', 'mountain', 'peak', 'pine', 'tree', 'base', 'clear', 'light', 'blue', 'sky']"
0022941.png,A single mountain peak covered with thick green bushes and blue sky with white clouds,"['single', 'mountain', 'peak', 'covered', 'thick', 'green', 'bush', 'blue', 'sky', 'white', 'cloud']"
0022952.png,Sandy Mountain slope covered with green bushes and clear blue sky,"['sandy', 'mountain', 'slope', 'covered', 'green', 'bush', 'clear', 'blue', 'sky']"
0022954.png,Rocky mountain range covered with white snow and clear blue sky,"['rocky', 'mountain', 'range', 'covered', 'white', 'snow', 'clear', 'blue', 'sky']"
0022956.png,Rugged mountain peaks covered with green grass and light blue sky scattered with thick white clouds,"['rugged', 'mountain', 'peak', 'covered', 'green', 'grass', 'light', 'blue', 'sky', 'scattered', 'thick', 'white', 'cloud']"
0022967.png,Dark mountain slope and snow capped peak and hazy light blue sky with a layer of grey clouds,"['dark', 'mountain', 'slope', 'snow', 'capped', 'peak', 'hazy', 'light', 'blue', 'sky', 'layer', 'grey', 'cloud']"
0022970.png,Rocky mountain peak covered with green trees and teal sky with white clouds,"['rocky', 'mountain', 'peak', 'covered', 'green', 'tree', 'teal', 'sky', 'white', 'cloud']"
0022974.png,Snow capped mountain range and hazy grey sky,"['snow', 'capped', 'mountain', 'range', 'hazy', 'grey', 'sky']"
0022979.png,Blue mountain ranges with streaks of snow and clear coral blue sky,"['blue', 'mountain', 'range', 'streak', 'snow', 'clear', 'coral', 'blue', 'sky']"
0022988.png,Rocky mountain peaks covered with snow and pine trees in the base of the mountain with hazy grey sky scattered with grey clouds,"['rocky', 'mountain', 'peak', 'covered', 'snow', 'pine', 'tree', 'base', 'mountain', 'hazy', 'grey', 'sky', 'scattered', 'grey', 'cloud']"
0022993.png,Snow capped rocky peaks with dense green forest in the base and clear blue sky,"['snow', 'capped', 'rocky', 'peak', 'dense', 'green', 'forest', 'base', 'clear', 'blue', 'sky']"
0022997.png,Dark rocky mountain peak covered in snow and hazy grey sky,"['dark', 'rocky', 'mountain', 'peak', 'covered', 'snow', 'hazy', 'grey', 'sky']"
0022998.png,Sandstone jagged mountain peaks covered with trees and hazy sky,"['sandstone', 'jagged', 'mountain', 'peak', 'covered', 'tree', 'hazy', 'sky']"
0023004.png,Snow capped rocky mountain range with green trees in the base and bright blue sky with dense white clouds,"['snow', 'capped', 'rocky', 'mountain', 'range', 'green', 'tree', 'base', 'bright', 'blue', 'sky', 'dense', 'white', 'cloud']"
0023011.png,Jagged mountain peaks with streaks of snow and green trees and hazy sky with dense grey clouds,"['jagged', 'mountain', 'peak', 'streak', 'snow', 'green', 'tree', 'hazy', 'sky', 'dense', 'grey', 'cloud']"
0023012.png,Mountain with loose gravel and clear blue sky,"['mountain', 'loose', 'gravel', 'clear', 'blue', 'sky']"
0023017.png,Snow capped rocky mountain peak with purple cloudy sky,"['snow', 'capped', 'rocky', 'mountain', 'peak', 'purple', 'cloudy', 'sky']"
0023039.png,Two rocky mountains with snow in the middle and green grass in its base and hazy white sky,"['two', 'rocky', 'mountain', 'snow', 'middle', 'green', 'grass', 'base', 'hazy', 'white', 'sky']"
0023043.png,Snow covered rocky mountain range with gravel and hazy grey sky,"['snow', 'covered', 'rocky', 'mountain', 'range', 'gravel', 'hazy', 'grey', 'sky']"
0023044.png,Rocky mountain slope fully covered with white thick snow and clear light blue sky,"['rocky', 'mountain', 'slope', 'fully', 'covered', 'white', 'thick', 'snow', 'clear', 'light', 'blue', 'sky']"
0023055.png,Dark hill range with trees and dark sky filled with dense dark grey clouds,"['dark', 'hill', 'range', 'tree', 'dark', 'sky', 'filled', 'dense', 'dark', 'grey', 'cloud']"
0023106.png,A single rocky peak with mountain slope and clear light blue sky,"['single', 'rocky', 'peak', 'mountain', 'slope', 'clear', 'light', 'blue', 'sky']"
0023107.png,Snow streaked mountain range with green pine trees and hazy blue sky with scattered white dense clouds,"['snow', 'streaked', 'mountain', 'range', 'green', 'pine', 'tree', 'hazy', 'blue', 'sky', 'scattered', 'white', 'dense', 'cloud']"
0023134.png,Rocky mountain slope with green pine trees on the top and grey hazy sky,"['rocky', 'mountain', 'slope', 'green', 'pine', 'tree', 'top', 'grey', 'hazy', 'sky']"
0023141.png,Mountain slope covered with green grass and hazy white sky with low lying clouds,"['mountain', 'slope', 'covered', 'green', 'grass', 'hazy', 'white', 'sky', 'low', 'lying', 'cloud']"
0049997.png,Dark mountains with no vegetation and orange clouds,"['dark', 'mountain', 'vegetation', 'orange', 'cloud']"
0050000.png,Green mountains with green vegetation and few clouds,"['green', 'mountain', 'green', 'vegetation', 'cloud']"
0050001.png,Stone mountains covered with snow and pine vegetation and cloudy sky,"['stone', 'mountain', 'covered', 'snow', 'pine', 'vegetation', 'cloudy', 'sky']"
0050002.png,Stone mountains with snow and no vegetation and one cloud,"['stone', 'mountain', 'snow', 'vegetation', 'one', 'cloud']"
0050006.png,Rock mountains surrounded with snow and clear sky,"['rock', 'mountain', 'surrounded', 'snow', 'clear', 'sky']"
0050008.png,Rugged mountains with slight green vegetation and scattered clouds,"['rugged', 'mountain', 'slight', 'green', 'vegetation', 'scattered', 'cloud']"
0050009.png,rock mountains surrounded with sand and clear sky,"['rock', 'mountain', 'surrounded', 'sand', 'clear', 'sky']"
0050011.png,Jagged mountains surrounded with pine trees and plants and has clear sky,"['jagged', 'mountain', 'surrounded', 'pine', 'tree', 'plant', 'clear', 'sky']"
0050012.png,Snowy mountains with less green plants and plain blue sky,"['snowy', 'mountain', 'le', 'green', 'plant', 'plain', 'blue', 'sky']"
0050013.png,Mountains covered with snow with few trees and cloudy sky,"['mountain', 'covered', 'snow', 'tree', 'cloudy', 'sky']"
0050032.png,Sharp Stone mountains with no green vegetation and clear blue sky,"['sharp', 'stone', 'mountain', 'green', 'vegetation', 'clear', 'blue', 'sky']"
0050043.png,Snow covered mountain range with golden cloudy sky,"['snow', 'covered', 'mountain', 'range', 'golden', 'cloudy', 'sky']"
0050044.png,Snow capped mountains with pine trees around it and layered clouds,"['snow', 'capped', 'mountain', 'pine', 'tree', 'around', 'layered', 'cloud']"
0050052.png,Rocky Mountains surrounded with green patch of vegetation and a dense cloud in blue sky,"['rocky', 'mountain', 'surrounded', 'green', 'patch', 'vegetation', 'dense', 'cloud', 'blue', 'sky']"
0050053.png,Steep Stone mountains covered with snow and A dense cloudy sky,"['steep', 'stone', 'mountain', 'covered', 'snow', 'dense', 'cloudy', 'sky']"
0050054.png,Mountain ranges with snow caps and surrounded by grass-like vegetation and clear blue sky,"['mountain', 'range', 'snow', 'cap', 'surrounded', 'grass-like', 'vegetation', 'clear', 'blue', 'sky']"
0050064.png,Green mountain ranges surrounded with patchy green plants and dense cloud cover,"['green', 'mountain', 'range', 'surrounded', 'patchy', 'green', 'plant', 'dense', 'cloud', 'cover']"
0050065.png,Smooth faced Stone mountains with pine trees at the foot and clear blue sky,"['smooth', 'faced', 'stone', 'mountain', 'pine', 'tree', 'foot', 'clear', 'blue', 'sky']"
0050066.png,Sharp snow capped mountains with tall pine trees in front of it and low lying wavy clouds,"['sharp', 'snow', 'capped', 'mountain', 'tall', 'pine', 'tree', 'front', 'low', 'lying', 'wavy', 'cloud']"
0050072.png,Short mountain ranges with no vegetation and surrounded by sand with partial cloud cover,"['short', 'mountain', 'range', 'vegetation', 'surrounded', 'sand', 'partial', 'cloud', 'cover']"
0050074.png,Peaks of snow capped mountains surrounded by snow and misty clouds,"['peak', 'snow', 'capped', 'mountain', 'surrounded', 'snow', 'misty', 'cloud']"
0050077.png,Rugged stone mountains with barely any vegetation and clear blue sky,"['rugged', 'stone', 'mountain', 'barely', 'vegetation', 'clear', 'blue', 'sky']"
0050083.png,Smooth faced stone mountains with grass like plants at the foot and very dense cloud cover,"['smooth', 'faced', 'stone', 'mountain', 'grass', 'like', 'plant', 'foot', 'dense', 'cloud', 'cover']"
0050101.png,jagged stone mountain range with Pine like trees and partially scattered clouds,"['jagged', 'stone', 'mountain', 'range', 'pine', 'like', 'tree', 'partially', 'scattered', 'cloud']"
0050118.png,Sharp rock mountains with dense pine forest cover and thick clouds,"['sharp', 'rock', 'mountain', 'dense', 'pine', 'forest', 'cover', 'thick', 'cloud']"
0050127.png,Mountains covered with pine vegetation and scattered clouds,"['mountain', 'covered', 'pine', 'vegetation', 'scattered', 'cloud']"
0050138.png,Stone mountain ranges in the background with grass field in front with Dense scattered clouds,"['stone', 'mountain', 'range', 'background', 'grass', 'field', 'front', 'dense', 'scattered', 'cloud']"
0050140.png,Tall snow capped mountains with low lying clouds,"['tall', 'snow', 'capped', 'mountain', 'low', 'lying', 'cloud']"
0050142.png,Smooth rocky mountain with pine trees and Dense white clouds,"['smooth', 'rocky', 'mountain', 'pine', 'tree', 'dense', 'white', 'cloud']"
0050149.png,Smooth layered brown mountains with grass at the foot and cloudy sky,"['smooth', 'layered', 'brown', 'mountain', 'grass', 'foot', 'cloudy', 'sky']"
0050164.png,dark mountains with trees and vegetation and a partially cloudy golden sky with sunrise,"['dark', 'mountain', 'tree', 'vegetation', 'partially', 'cloudy', 'golden', 'sky', 'sunrise']"
0050166.png,Lush green mountains with dense vegetation and clear blue sky with a misty horizon,"['lush', 'green', 'mountain', 'dense', 'vegetation', 'clear', 'blue', 'sky', 'misty', 'horizon']"
0050175.png,Sharp Stone mountains with lush green vegetation and pine trees at the foot and scattered dense clouds,"['sharp', 'stone', 'mountain', 'lush', 'green', 'vegetation', 'pine', 'tree', 'foot', 'scattered', 'dense', 'cloud']"
0050178.png,Rugged brown mountain with no vegetation and one dense cloud in the clear blue sky,"['rugged', 'brown', 'mountain', 'vegetation', 'one', 'dense', 'cloud', 'clear', 'blue', 'sky']"
0050184.png,Stone mountains with jagged peaks and greens trees at the foot and a clear blue sky,"['stone', 'mountain', 'jagged', 'peak', 'green', 'tree', 'foot', 'clear', 'blue', 'sky']"
0050187.png,grey jagged peaked mountains with slight vegetation and clear blue sky,"['grey', 'jagged', 'peaked', 'mountain', 'slight', 'vegetation', 'clear', 'blue', 'sky']"
0050190.png,Brown mountains with green vegetation at the foot and a partially cloudy sky,"['brown', 'mountain', 'green', 'vegetation', 'foot', 'partially', 'cloudy', 'sky']"
0050200.png,Sharp peaked dark mountains with no vegetation and dense white clouds,"['sharp', 'peaked', 'dark', 'mountain', 'vegetation', 'dense', 'white', 'cloud']"
0050206.png,Stone mountains with serrated peak and dense pine trees and clear sky with one cloud,"['stone', 'mountain', 'serrated', 'peak', 'dense', 'pine', 'tree', 'clear', 'sky', 'one', 'cloud']"
0050209.png,Smooth faced stone mountains with pine trees at the foot and partially cloudy sky,"['smooth', 'faced', 'stone', 'mountain', 'pine', 'tree', 'foot', 'partially', 'cloudy', 'sky']"
0050214.png,green faced mountains with lush green plants and white clouds at the peak,"['green', 'faced', 'mountain', 'lush', 'green', 'plant', 'white', 'cloud', 'peak']"
0050215.png,dark mountain with bushy plants and few trees spaced apart and dense cloud line,"['dark', 'mountain', 'bushy', 'plant', 'tree', 'spaced', 'apart', 'dense', 'cloud', 'line']"
0050217.png,jagged peaked mountains with snow and pine trees around them and clear shiny sky with the sun,"['jagged', 'peaked', 'mountain', 'snow', 'pine', 'tree', 'around', 'clear', 'shiny', 'sky', 'sun']"
0050225.png,snow coated mountains with pine vegetation on it and a dense cloud cover at the peak,"['snow', 'coated', 'mountain', 'pine', 'vegetation', 'dense', 'cloud', 'cover', 'peak']"
0050231.png,snow capped mountain with partial green vegetation and partially clear blue sky,"['snow', 'capped', 'mountain', 'partial', 'green', 'vegetation', 'partially', 'clear', 'blue', 'sky']"
0050234.png,white jagged stone mountains with pine vegetation and clear blue sky,"['white', 'jagged', 'stone', 'mountain', 'pine', 'vegetation', 'clear', 'blue', 'sky']"
0050238.png,sharp rugged mountains with no vegetations and misty clouds,"['sharp', 'rugged', 'mountain', 'vegetation', 'misty', 'cloud']"
0050247.png,grey smooth faced stone mountains with pine trees and grass at the base of the mountains with a clear blue sky,"['grey', 'smooth', 'faced', 'stone', 'mountain', 'pine', 'tree', 'grass', 'base', 'mountain', 'clear', 'blue', 'sky']"
0050248.png,stone mountains with snow streaks on it with vegetation on the base and dense white clouds,"['stone', 'mountain', 'snow', 'streak', 'vegetation', 'base', 'dense', 'white', 'cloud']"
0050272.png,mountains covered with dry vegetation and clear blue sky,"['mountain', 'covered', 'dry', 'vegetation', 'clear', 'blue', 'sky']"
0050279.png,mountains covered with bushes and spaced out planted trees in front of it with dense white cloud cover,"['mountain', 'covered', 'bush', 'spaced', 'planted', 'tree', 'front', 'dense', 'white', 'cloud', 'cover']"
0050283.png,snow capped mountains with misty clouds and blue sky,"['snow', 'capped', 'mountain', 'misty', 'cloud', 'blue', 'sky']"
0050284.png,dark mountain with a grassland in front of it and scattered dense clouds,"['dark', 'mountain', 'grassland', 'front', 'scattered', 'dense', 'cloud']"
0050299.png,light brown mountains with sunlight on its face and partially cloudy sky,"['light', 'brown', 'mountain', 'sunlight', 'face', 'partially', 'cloudy', 'sky']"
0050302.png,snowy mountains with blue cloudy covered sky,"['snowy', 'mountain', 'blue', 'cloudy', 'covered', 'sky']"
0050311.png,mountain ranges covered with dry vegetation and partially cloudy sky,"['mountain', 'range', 'covered', 'dry', 'vegetation', 'partially', 'cloudy', 'sky']"
0050314.png,rocky grey mountains with branched trees and clear blue sky,"['rocky', 'grey', 'mountain', 'branched', 'tree', 'clear', 'blue', 'sky']"
0050315.png,snow coated mountains with low lying clouds,"['snow', 'coated', 'mountain', 'low', 'lying', 'cloud']"
0050319.png,mountains covered in snow and sky covered with dense clouds,"['mountain', 'covered', 'snow', 'sky', 'covered', 'dense', 'cloud']"
0050320.png,brown mountains with pine vegetation surrounding it and partially cloudy sky,"['brown', 'mountain', 'pine', 'vegetation', 'surrounding', 'partially', 'cloudy', 'sky']"
0050322.png,Mountain peaks behind a savannah of yellow vegetation and partially cloudy sky,"['mountain', 'peak', 'behind', 'savannah', 'yellow', 'vegetation', 'partially', 'cloudy', 'sky']"
0050323.png,white mountains with dry vegetation and clear blue sky,"['white', 'mountain', 'dry', 'vegetation', 'clear', 'blue', 'sky']"
0050328.png,rugged mountains with green vegetation on it with dense white clouds,"['rugged', 'mountain', 'green', 'vegetation', 'dense', 'white', 'cloud']"
0050332.png,brown rocky mountain with clear bright sky,"['brown', 'rocky', 'mountain', 'clear', 'bright', 'sky']"
0050334.png,rugged stone mountains with clouds towards the horizon and a clear sky,"['rugged', 'stone', 'mountain', 'cloud', 'towards', 'horizon', 'clear', 'sky']"
0050352.png,mountains with snow with dry vegetation and dense white cloud cover,"['mountain', 'snow', 'dry', 'vegetation', 'dense', 'white', 'cloud', 'cover']"
0050357.png,grey stone mountains with partially cloudy sky,"['grey', 'stone', 'mountain', 'partially', 'cloudy', 'sky']"
0050362.png,brown mountain peaks with patchy green vegetation with partially dense clouds,"['brown', 'mountain', 'peak', 'patchy', 'green', 'vegetation', 'partially', 'dense', 'cloud']"
0050365.png,stone mountains with green trees and dense vegetation with partially cloudy blue sky,"['stone', 'mountain', 'green', 'tree', 'dense', 'vegetation', 'partially', 'cloudy', 'blue', 'sky']"
0050367.png,snow capped mountains with dark blue clear sky,"['snow', 'capped', 'mountain', 'dark', 'blue', 'clear', 'sky']"
0050368.png,stone mountains with pine vegetation on them and blue sky with clouds shining with sunlight,"['stone', 'mountain', 'pine', 'vegetation', 'blue', 'sky', 'cloud', 'shining', 'sunlight']"
0050370.png,brown desert like mountain region with clear sky,"['brown', 'desert', 'like', 'mountain', 'region', 'clear', 'sky']"
0050371.png,mountain covered by the shadow and the sky is clear blue,"['mountain', 'covered', 'shadow', 'sky', 'clear', 'blue']"
0050373.png,mountains covered with grass and stones and partially cloudy blue sky,"['mountain', 'covered', 'grass', 'stone', 'partially', 'cloudy', 'blue', 'sky']"
0050375.png,ice capped mountains with dense grey clouds,"['ice', 'capped', 'mountain', 'dense', 'grey', 'cloud']"
0050376.png,brown rocky mountains with grass fields ahead and clear blue sky with misty clouds,"['brown', 'rocky', 'mountain', 'grass', 'field', 'ahead', 'clear', 'blue', 'sky', 'misty', 'cloud']"
0050380.png,mountain ranges in the background with pine trees in the front and white cloudy sky,"['mountain', 'range', 'background', 'pine', 'tree', 'front', 'white', 'cloudy', 'sky']"
0050385.png,Mountain covered in ice and light teal sky,"['mountain', 'covered', 'ice', 'light', 'teal', 'sky']"
0050392.png,stone mountains covered in bushes and green vegetation around it and clear white sky,"['stone', 'mountain', 'covered', 'bush', 'green', 'vegetation', 'around', 'clear', 'white', 'sky']"
0050394.png,Steep rugged stone mountain with patchy vegetation on it and blue sky with misty clouds,"['steep', 'rugged', 'stone', 'mountain', 'patchy', 'vegetation', 'blue', 'sky', 'misty', 'cloud']"
0050396.png,grey mountains with patchy vegetation towards it foot and clear blue sky,"['grey', 'mountain', 'patchy', 'vegetation', 'towards', 'foot', 'clear', 'blue', 'sky']"
0050397.png,white flat faced mountains with rocky base and white scattered clouds,"['white', 'flat', 'faced', 'mountain', 'rocky', 'base', 'white', 'scattered', 'cloud']"
0050407.png,dark snow capped mountains with patch vegetation on them and pine trees at the bottom and dense white clouds,"['dark', 'snow', 'capped', 'mountain', 'patch', 'vegetation', 'pine', 'tree', 'bottom', 'dense', 'white', 'cloud']"
0050410.png,mountains with lush bush and pine trees in front of it and clouds around its peak and a blue sky,"['mountain', 'lush', 'bush', 'pine', 'tree', 'front', 'cloud', 'around', 'peak', 'blue', 'sky']"
0050414.png,snowy mountains with ridges over it and misty sky,"['snowy', 'mountain', 'ridge', 'misty', 'sky']"
0050419.png,brown mountains with steep smooth face and jagged peaks and cloudy blue sky,"['brown', 'mountain', 'steep', 'smooth', 'face', 'jagged', 'peak', 'cloudy', 'blue', 'sky']"
0050421.png,mountains covered with green plants and green trees around and clear blue sky,"['mountain', 'covered', 'green', 'plant', 'green', 'tree', 'around', 'clear', 'blue', 'sky']"
0050452.png,steep mountainside cliff with a smooth face and a grass valley in between and blue cloudy sky,"['steep', 'mountainside', 'cliff', 'smooth', 'face', 'grass', 'valley', 'blue', 'cloudy', 'sky']"
0050456.png,snow capped mountain peaks with its body covered in shadow and lots of green plants near it,"['snow', 'capped', 'mountain', 'peak', 'body', 'covered', 'shadow', 'lot', 'green', 'plant', 'near']"
0050459.png,mountains covered in greenery and the base of the mountains is rich in green vegetation the sky is blue with minimal clouds,"['mountain', 'covered', 'greenery', 'base', 'mountain', 'rich', 'green', 'vegetation', 'sky', 'blue', 'minimal', 'cloud']"
0050462.png,white snow mountains with autumn vegetation and blue sky with a dense cloud,"['white', 'snow', 'mountain', 'autumn', 'vegetation', 'blue', 'sky', 'dense', 'cloud']"
0050465.png,brown mountains with a valley like formation and dry desert vegetation around it and green vegetation further in front of it and the sky is light blue,"['brown', 'mountain', 'valley', 'like', 'formation', 'dry', 'desert', 'vegetation', 'around', 'green', 'vegetation', 'front', 'sky', 'light', 'blue']"
0050471.png,steep light grey mountain with a smooth surface on the base and rugged towards the peak with cloudy blue sky,"['steep', 'light', 'grey', 'mountain', 'smooth', 'surface', 'base', 'rugged', 'towards', 'peak', 'cloudy', 'blue', 'sky']"
0050479.png,sharp peaked grey mountains with snow  and grey cloudy sky,"['sharp', 'peaked', 'grey', 'mountain', 'snow', 'grey', 'cloudy', 'sky']"
0050486.png,rocky mountains with slight patchy green vegetation and clear blue sky,"['rocky', 'mountain', 'slight', 'patchy', 'green', 'vegetation', 'clear', 'blue', 'sky']"
0050495.png,rocky mountain covered with green grass and bushes and low lying clouds below the peak,"['rocky', 'mountain', 'covered', 'green', 'grass', 'bush', 'low', 'lying', 'cloud', 'peak']"
0050498.png,snow capped mountain with shadow fall covering its base and dense white clouds above it,"['snow', 'capped', 'mountain', 'shadow', 'fall', 'covering', 'base', 'dense', 'white', 'cloud']"
0050519.png,sandy mountains surrounded by cactus and desert vegetation with clear blue sky,"['sandy', 'mountain', 'surrounded', 'cactus', 'desert', 'vegetation', 'clear', 'blue', 'sky']"
0050525.png,white snow covered mountains with slight shadow at the base and dark blue night sky,"['white', 'snow', 'covered', 'mountain', 'slight', 'shadow', 'base', 'dark', 'blue', 'night', 'sky']"
0050536.png,brown rugged layered mountains with a valley of dry vegetation in between and blue sky with lots of misty clouds,"['brown', 'rugged', 'layered', 'mountain', 'valley', 'dry', 'vegetation', 'blue', 'sky', 'lot', 'misty', 'cloud']"
0050546.png,snowy mountain range with light blue sky with misty clouds,"['snowy', 'mountain', 'range', 'light', 'blue', 'sky', 'misty', 'cloud']"
0050547.png,Mountains covered in moss like vegetation and cloudy sky,"['mountain', 'covered', 'moss', 'like', 'vegetation', 'cloudy', 'sky']"
0050550.png,stone mountains with jagged peaks covered in snow and smokey grey clouds,"['stone', 'mountain', 'jagged', 'peak', 'covered', 'snow', 'smokey', 'grey', 'cloud']"
0050556.png,snowy white mountains with hazy blue sky with clouds,"['snowy', 'white', 'mountain', 'hazy', 'blue', 'sky', 'cloud']"
0050567.png,mountains with patchy green vegetation and blue clouds scattered across the sky,"['mountain', 'patchy', 'green', 'vegetation', 'blue', 'cloud', 'scattered', 'across', 'sky']"
0050572.png,mountain peaks with layered body and clear blue sky,"['mountain', 'peak', 'layered', 'body', 'clear', 'blue', 'sky']"
0050574.png,ice capped green mountains covered with dense pine vegetation and dry vegetation at the base and clear blue sky,"['ice', 'capped', 'green', 'mountain', 'covered', 'dense', 'pine', 'vegetation', 'dry', 'vegetation', 'base', 'clear', 'blue', 'sky']"
0050585.png,mountains with jagged peaks covered in snow and green grass surrounding it and white cloudy sky,"['mountain', 'jagged', 'peak', 'covered', 'snow', 'green', 'grass', 'surrounding', 'white', 'cloudy', 'sky']"
0050594.png,mountains covered by misty clouds surrounded by pine trees and white hazy sky,"['mountain', 'covered', 'misty', 'cloud', 'surrounded', 'pine', 'tree', 'white', 'hazy', 'sky']"
0050596.png,rocky mountains with snow on them with a pine tree and blue sky with misty clouds,"['rocky', 'mountain', 'snow', 'pine', 'tree', 'blue', 'sky', 'misty', 'cloud']"
